sample_accession	run_accession	library_layout
SRS3675561	SRR7700358	PAIRED
SRS3675568	SRR7700366	PAIRED
SRS3675578	SRR7700375	PAIRED
SRS3675590	SRR7700389	PAIRED
SRS3675595	SRR7700393	PAIRED
SRS3675611	SRR7700410	PAIRED
SRS3675616	SRR7700415	PAIRED
SRS3675629	SRR7700428	PAIRED
SRS3675651	SRR7700449	PAIRED
SRS3675668	SRR7700465	PAIRED
SRS3675684	SRR7700482	PAIRED
SRS3675683	SRR7700483	PAIRED
SRS3675703	SRR7700504	PAIRED
SRS3675717	SRR7700516	PAIRED
SRS3675719	SRR7700517	PAIRED
SRS3675722	SRR7700521	PAIRED
SRS3675724	SRR7700523	PAIRED
SRS3675728	SRR7700525	PAIRED
SRS3675743	SRR7700539	PAIRED
SRS3675851	SRR7700541	PAIRED
SRS3675766	SRR7700565	PAIRED
SRS3675800	SRR7700598	PAIRED
SRS3675801	SRR7700600	PAIRED
SRS3675812	SRR7700611	PAIRED
SRS3675831	SRR7700629	PAIRED
SRS3675838	SRR7700638	PAIRED
SRS3675848	SRR7700646	PAIRED
SRS3698230	SRR7733541	PAIRED
SRS3729715	SRR7773401	SINGLE
SRS3729738	SRR7773424	SINGLE
SRS3729741	SRR7773427	SINGLE
SRS3731659	SRR7775517	SINGLE
SRS3731676	SRR7775534	SINGLE
SRS3731678	SRR7775536	SINGLE
SRS3731680	SRR7775539	SINGLE
SRS3731688	SRR7775546	SINGLE
SRS3731694	SRR7775552	SINGLE
SRS3731700	SRR7775558	SINGLE
SRS3731705	SRR7775563	SINGLE
SRS3731707	SRR7775565	SINGLE
SRS3731709	SRR7775568	SINGLE
SRS3731716	SRR7775573	SINGLE
SRS3731734	SRR7775592	SINGLE
SRS3731744	SRR7775602	SINGLE
SRS3731764	SRR7775622	SINGLE
SRS3731767	SRR7775625	SINGLE
SRS3731779	SRR7775637	SINGLE
SRS3731795	SRR7775653	SINGLE
SRS3731797	SRR7775654	SINGLE
SRS3731815	SRR7775673	SINGLE
SRS3731831	SRR7775689	SINGLE
SRS3731841	SRR7775699	SINGLE
SRS3731847	SRR7775705	SINGLE
SRS3731860	SRR7775718	SINGLE
SRS3731870	SRR7775728	SINGLE
SRS3731892	SRR7775747	SINGLE
SRS3731899	SRR7775756	SINGLE
SRS3731906	SRR7775764	SINGLE
SRS3731931	SRR7775790	SINGLE
SRS3731938	SRR7775801	SINGLE
SRS3731947	SRR7775806	SINGLE
SRS3731954	SRR7775813	SINGLE
SRS3731959	SRR7775818	SINGLE
SRS3732006	SRR7775865	SINGLE
SRS3732011	SRR7775870	SINGLE
SRS3732012	SRR7775871	SINGLE
SRS3732078	SRR7775873	SINGLE
SRS3732044	SRR7775904	SINGLE
SRS3732051	SRR7775911	SINGLE
SRS3732055	SRR7775914	SINGLE
SRS3732054	SRR7775916	SINGLE
SRS3732066	SRR7775925	SINGLE
SRS3732072	SRR7775931	SINGLE
SRS3732097	SRR7775955	SINGLE
SRS3732103	SRR7775962	SINGLE
SRS3732108	SRR7775967	SINGLE
SRS3732131	SRR7775989	SINGLE
SRS3732134	SRR7775991	SINGLE
SRS3732145	SRR7776003	SINGLE
SRS3732162	SRR7776021	SINGLE
SRS3732175	SRR7776032	SINGLE
SRS3732227	SRR7776085	SINGLE
SRS3732237	SRR7776095	SINGLE
SRS3732236	SRR7776097	SINGLE
SRS3732245	SRR7776104	SINGLE
SRS3732254	SRR7776112	SINGLE
SRS3732257	SRR7776114	SINGLE
SRS3732258	SRR7776117	SINGLE
SRS3732259	SRR7776118	SINGLE
SRS3732260	SRR7776119	SINGLE
SRS3732265	SRR7776124	SINGLE
SRS3732270	SRR7776127	SINGLE
SRS3732276	SRR7776136	SINGLE
SRS3732283	SRR7776143	SINGLE
SRS3732292	SRR7776152	SINGLE
SRS3732305	SRR7776165	SINGLE
SRS3732311	SRR7776171	SINGLE
SRS3732320	SRR7776178	SINGLE
SRS3732329	SRR7776189	SINGLE
SRS3732343	SRR7776203	SINGLE
SRS3732358	SRR7776218	SINGLE
SRS3732367	SRR7776227	SINGLE
SRS3732372	SRR7776233	SINGLE
SRS3732394	SRR7776252	SINGLE
SRS3732403	SRR7776261	SINGLE
SRS3732430	SRR7776288	SINGLE
SRS3732433	SRR7776292	SINGLE
SRS3732437	SRR7776295	SINGLE
SRS3732444	SRR7776302	SINGLE
SRS3732450	SRR7776309	SINGLE
SRS3732466	SRR7776324	SINGLE
SRS3732482	SRR7776337	SINGLE
SRS3732485	SRR7776343	SINGLE
SRS3732486	SRR7776345	SINGLE
SRS3732506	SRR7776364	SINGLE
SRS3732507	SRR7776366	SINGLE
SRS3732518	SRR7776378	SINGLE
SRS3732686	SRR7776379	SINGLE
SRS3732544	SRR7776404	SINGLE
SRS3732549	SRR7776409	SINGLE
SRS3732596	SRR7776455	SINGLE
SRS3732613	SRR7776472	SINGLE
SRS3732615	SRR7776475	SINGLE
SRS3732616	SRR7776476	SINGLE
SRS3732622	SRR7776483	SINGLE
SRS3732632	SRR7776493	SINGLE
SRS3732645	SRR7776505	SINGLE
SRS3732644	SRR7776506	SINGLE
SRS3732647	SRR7776508	SINGLE
SRS3732652	SRR7776513	SINGLE
SRS3732663	SRR7776523	SINGLE
SRS3732691	SRR7776549	SINGLE
SRS3732692	SRR7776551	SINGLE
SRS3732711	SRR7776571	SINGLE
SRS3732735	SRR7776594	SINGLE
SRS3732742	SRR7776601	SINGLE
SRS3732764	SRR7776623	SINGLE
SRS3732784	SRR7776642	SINGLE
SRS3732793	SRR7776651	SINGLE
SRS3732826	SRR7776685	SINGLE
SRS3732828	SRR7776688	SINGLE
SRS3732860	SRR7776720	SINGLE
SRS3732862	SRR7776722	SINGLE
SRS3732978	SRR7776724	SINGLE
SRS3732872	SRR7776733	SINGLE
SRS3732886	SRR7776747	SINGLE
SRS3732894	SRR7776755	SINGLE
SRS3732902	SRR7776763	SINGLE
SRS3732907	SRR7776769	SINGLE
SRS3732917	SRR7776779	SINGLE
SRS3732922	SRR7776784	SINGLE
SRS3732944	SRR7776805	SINGLE
SRS3732958	SRR7776820	SINGLE
SRS3732966	SRR7776826	SINGLE
SRS3770550	SRR7825708	PAIRED
SRS3770576	SRR7825710	PAIRED
SRS3770554	SRR7825713	PAIRED
SRS3770558	SRR7825717	PAIRED
SRS3770564	SRR7825723	PAIRED
SRS3770597	SRR7825756	PAIRED
SRS3971244	SRR8099201	PAIRED
SRS3971244	SRR8099199	PAIRED
SRS3971244	SRR8099198	PAIRED
SRS3971244	SRR8099200	PAIRED
SRS4363763	SRR8573766	PAIRED
SRS4386076	SRR8599151	PAIRED
SRS1397505	SRR3375523	SINGLE
SRS1397502	SRR3375527	SINGLE
SRS1397496	SRR3375533	SINGLE
SRS1397494	SRR3375535	SINGLE
SRS1397489	SRR3375540	SINGLE
SRS1397474	SRR3375555	SINGLE
SRS1397467	SRR3375562	SINGLE
SRS1397432	SRR3375597	SINGLE
SRS1397424	SRR3375605	SINGLE
SRS1397406	SRR3375623	SINGLE
SRS1397383	SRR3375646	SINGLE
SRS1397378	SRR3375652	SINGLE
SRS1397366	SRR3375668	SINGLE
SRS1397311	SRR3375773	SINGLE
SRS1397304	SRR3375786	SINGLE
SRS1397288	SRR3375805	SINGLE
SRS1397287	SRR3375806	SINGLE
SRS1397285	SRR3375808	SINGLE
SRS1397284	SRR3375809	SINGLE
SRS1397278	SRR3375815	SINGLE
SRS1397275	SRR3375818	SINGLE
SRS1397273	SRR3375820	SINGLE
SRS1397271	SRR3375822	SINGLE
SRS1397266	SRR3375827	SINGLE
SRS1397248	SRR3375845	SINGLE
SRS1397235	SRR3375858	SINGLE
SRS1397192	SRR3375866	SINGLE
SRS1467260	SRR3587530	SINGLE
SRS1467262	SRR3587532	SINGLE
SRS1467272	SRR3587542	SINGLE
SRS1467285	SRR3587555	SINGLE
SRS1467295	SRR3587564	SINGLE
SRS1467320	SRR3587589	SINGLE
SRS1467329	SRR3587598	SINGLE
SRS1467343	SRR3587612	SINGLE
SRS1467355	SRR3587624	SINGLE
SRS1467362	SRR3587632	SINGLE
SRS1467387	SRR3587656	SINGLE
SRS1467413	SRR3587682	SINGLE
SRS1467415	SRR3587684	SINGLE
SRS1467420	SRR3587688	SINGLE
SRS1467421	SRR3587690	SINGLE
SRS1467426	SRR3587695	SINGLE
SRS1467447	SRR3587715	SINGLE
SRS1467455	SRR3587724	SINGLE
SRS1467461	SRR3587729	SINGLE
SRS1467465	SRR3587734	SINGLE
SRS1467468	SRR3587737	SINGLE
SRS1467473	SRR3587742	SINGLE
SRS1467476	SRR3587745	SINGLE
SRS1467488	SRR3587757	SINGLE
SRS1467489	SRR3587758	SINGLE
SRS1467496	SRR3587766	SINGLE
SRS1467505	SRR3587774	SINGLE
SRS1467519	SRR3587788	SINGLE
SRS1467522	SRR3587791	SINGLE
SRS1467542	SRR3587811	SINGLE
SRS1467554	SRR3587823	SINGLE
SRS1467555	SRR3587824	SINGLE
SRS1467566	SRR3587835	SINGLE
SRS1467570	SRR3587839	SINGLE
SRS1467579	SRR3587848	SINGLE
SRS1467643	SRR3587912	SINGLE
SRS1467254	SRR3587505	PAIRED
SRS2166275	SRR5508613	SINGLE
SRS2166307	SRR5508645	SINGLE
SRS2166317	SRR5508656	SINGLE
SRS2166327	SRR5508664	SINGLE
SRS2166330	SRR5508668	SINGLE
SRS2166333	SRR5508672	SINGLE
SRS2166337	SRR5508675	SINGLE
SRS2166346	SRR5508685	SINGLE
SRS2166385	SRR5508723	SINGLE
SRS2166386	SRR5508724	SINGLE
SRS2166398	SRR5508737	SINGLE
SRS2166410	SRR5508749	SINGLE
SRS2166419	SRR5508757	SINGLE
SRS2166422	SRR5508760	SINGLE
SRS2166426	SRR5508763	SINGLE
SRS2166428	SRR5508766	SINGLE
SRS2166442	SRR5508780	SINGLE
SRS2166451	SRR5508790	SINGLE
SRS2166480	SRR5508819	SINGLE
SRS2166481	SRR5508822	SINGLE
SRS2166483	SRR5508823	SINGLE
SRS2166485	SRR5508824	SINGLE
SRS2166510	SRR5508847	SINGLE
SRS2166665	SRR5508859	SINGLE
SRS2166669	SRR5508864	SINGLE
SRS2166676	SRR5508870	SINGLE
SRS2166680	SRR5508874	SINGLE
SRS2166685	SRR5508881	SINGLE
SRS2166714	SRR5508911	SINGLE
SRS2166747	SRR5508943	SINGLE
SRS2166753	SRR5508948	SINGLE
SRS2166754	SRR5508949	SINGLE
SRS2166759	SRR5508953	SINGLE
SRS2166762	SRR5508957	SINGLE
SRS2166776	SRR5508972	SINGLE
SRS2166779	SRR5508974	SINGLE
SRS2166785	SRR5508980	SINGLE
SRS2166833	SRR5508989	SINGLE
SRS2166794	SRR5508992	SINGLE
SRS2166802	SRR5508999	SINGLE
SRS2166804	SRR5509000	SINGLE
SRS2166805	SRR5509001	SINGLE
SRS2166807	SRR5509003	SINGLE
SRS2166846	SRR5509011	SINGLE
SRS2166850	SRR5509043	SINGLE
SRS2166863	SRR5509054	SINGLE
SRS2166889	SRR5509083	SINGLE
SRS2166894	SRR5509091	SINGLE
SRS2166924	SRR5509118	SINGLE
SRS2166929	SRR5509127	SINGLE
SRS2166934	SRR5509130	SINGLE
SRS2166946	SRR5509142	SINGLE
SRS2166955	SRR5509151	SINGLE
SRS3106638	SRR6916786	PAIRED
SRS3106639	SRR6916787	PAIRED
SRS3106650	SRR6916798	PAIRED
SRS3106675	SRR6916823	PAIRED
SRS3106677	SRR6916825	PAIRED
SRS3106688	SRR6916836	PAIRED
SRS3106699	SRR6916847	PAIRED
SRS3106701	SRR6916848	PAIRED
SRS3106702	SRR6916850	PAIRED
SRS3106705	SRR6916853	PAIRED
SRS3106711	SRR6916859	PAIRED
SRS3106721	SRR6916869	PAIRED
SRS3106722	SRR6916870	PAIRED
SRS3371559	SRR7254623	SINGLE
SRS3669086	SRR7692543	PAIRED
SRS3669099	SRR7692556	PAIRED
SRS3675000	SRR7699797	PAIRED
SRS3675002	SRR7699798	PAIRED
SRS3675003	SRR7699799	PAIRED
SRS3675005	SRR7699802	PAIRED
SRS3675009	SRR7699805	PAIRED
SRS3675018	SRR7699814	PAIRED
SRS3675032	SRR7699825	PAIRED
SRS3675039	SRR7699835	PAIRED
SRS3675041	SRR7699839	PAIRED
SRS3675051	SRR7699846	PAIRED
SRS3675058	SRR7699853	PAIRED
SRS3675065	SRR7699861	PAIRED
SRS3675084	SRR7699881	PAIRED
SRS3675103	SRR7699901	PAIRED
SRS3675114	SRR7699912	PAIRED
SRS3675119	SRR7699917	PAIRED
SRS3675180	SRR7699974	PAIRED
SRS3675187	SRR7699982	PAIRED
SRS3675205	SRR7699999	PAIRED
SRS3675214	SRR7700012	PAIRED
SRS3675247	SRR7700044	PAIRED
SRS3675252	SRR7700047	PAIRED
SRS3675263	SRR7700057	PAIRED
SRS3675277	SRR7700073	PAIRED
SRS3675280	SRR7700078	PAIRED
SRS3675289	SRR7700081	PAIRED
SRS3675324	SRR7700121	PAIRED
SRS3675325	SRR7700123	PAIRED
SRS3675330	SRR7700128	PAIRED
SRS3675338	SRR7700136	PAIRED
SRS3675346	SRR7700141	PAIRED
SRS3675360	SRR7700159	PAIRED
SRS3675380	SRR7700177	PAIRED
SRS3675391	SRR7700188	PAIRED
SRS3675393	SRR7700190	PAIRED
SRS3675419	SRR7700215	PAIRED
SRS3675438	SRR7700234	PAIRED
SRS3675453	SRR7700250	PAIRED
SRS3675461	SRR7700257	PAIRED
SRS3675476	SRR7700272	PAIRED
SRS3675478	SRR7700274	PAIRED
SRS3675490	SRR7700287	PAIRED
SRS3675497	SRR7700293	PAIRED
SRS3675502	SRR7700298	PAIRED
SRS3675503	SRR7700299	PAIRED
SRS3675506	SRR7700301	PAIRED
SRS3675526	SRR7700320	PAIRED
SRS3675538	SRR7700331	PAIRED
SRS3675537	SRR7700333	PAIRED
SRS3675544	SRR7700342	PAIRED
SRS3675556	SRR7700355	PAIRED
SRS3675562	SRR7700359	PAIRED
SRS3675571	SRR7700369	PAIRED
SRS3675575	SRR7700372	PAIRED
SRS3675576	SRR7700376	PAIRED
SRS3675769	SRR7700378	PAIRED
SRS3675633	SRR7700432	PAIRED
SRS3675637	SRR7700435	PAIRED
SRS3675641	SRR7700439	PAIRED
SRS3675644	SRR7700443	PAIRED
SRS3675647	SRR7700447	PAIRED
SRS3675654	SRR7700452	PAIRED
SRS3675696	SRR7700495	PAIRED
SRS3675699	SRR7700497	PAIRED
SRS3675705	SRR7700503	PAIRED
SRS3675723	SRR7700522	PAIRED
SRS3675730	SRR7700529	PAIRED
SRS3675753	SRR7700549	PAIRED
SRS3675792	SRR7700588	PAIRED
SRS3675790	SRR7700589	PAIRED
SRS3675821	SRR7700616	PAIRED
SRS3675827	SRR7700625	PAIRED
SRS3675837	SRR7700633	PAIRED
SRS3698220	SRR7733530	PAIRED
SRS3698229	SRR7733540	PAIRED
SRS3729714	SRR7773400	SINGLE
SRS3729716	SRR7773402	SINGLE
SRS3729722	SRR7773408	SINGLE
SRS3729728	SRR7773414	SINGLE
SRS3729740	SRR7773426	SINGLE
SRS3731638	SRR7775496	SINGLE
SRS3731658	SRR7775515	SINGLE
SRS3731668	SRR7775526	SINGLE
SRS3731670	SRR7775528	SINGLE
SRS3731684	SRR7775542	SINGLE
SRS3731692	SRR7775550	SINGLE
SRS3731696	SRR7775553	SINGLE
SRS3731698	SRR7775556	SINGLE
SRS3731704	SRR7775561	SINGLE
SRS3731712	SRR7775570	SINGLE
SRS3731722	SRR7775579	SINGLE
SRS3731725	SRR7775582	SINGLE
SRS3731730	SRR7775588	SINGLE
SRS3731743	SRR7775601	SINGLE
SRS3731749	SRR7775607	SINGLE
SRS3731753	SRR7775611	SINGLE
SRS3731756	SRR7775614	SINGLE
SRS3731762	SRR7775619	SINGLE
SRS3731763	SRR7775621	SINGLE
SRS3731774	SRR7775632	SINGLE
SRS3731782	SRR7775640	SINGLE
SRS3731788	SRR7775646	SINGLE
SRS3731817	SRR7775675	SINGLE
SRS3731819	SRR7775677	SINGLE
SRS3731820	SRR7775678	SINGLE
SRS3731832	SRR7775690	SINGLE
SRS3731833	SRR7775691	SINGLE
SRS3731839	SRR7775697	SINGLE
SRS3731851	SRR7775709	SINGLE
SRS3731859	SRR7775717	SINGLE
SRS3731866	SRR7775724	SINGLE
SRS3731878	SRR7775736	SINGLE
SRS3731897	SRR7775755	SINGLE
SRS3731902	SRR7775761	SINGLE
SRS3731925	SRR7775783	SINGLE
SRS3732040	SRR7775787	SINGLE
SRS3731940	SRR7775797	SINGLE
SRS3731941	SRR7775798	SINGLE
SRS3731944	SRR7775805	SINGLE
SRS3731956	SRR7775814	SINGLE
SRS3731964	SRR7775823	SINGLE
SRS3731965	SRR7775824	SINGLE
SRS3731982	SRR7775841	SINGLE
SRS3731995	SRR7775855	SINGLE
SRS3732008	SRR7775867	SINGLE
SRS3732016	SRR7775877	SINGLE
SRS3732018	SRR7775879	SINGLE
SRS3732030	SRR7775891	SINGLE
SRS3732038	SRR7775899	SINGLE
SRS3732039	SRR7775900	SINGLE
SRS3732058	SRR7775918	SINGLE
SRS3732067	SRR7775927	SINGLE
SRS3732070	SRR7775930	SINGLE
SRS3732080	SRR7775938	SINGLE
SRS3732081	SRR7775939	SINGLE
SRS3732084	SRR7775944	SINGLE
SRS3732096	SRR7775953	SINGLE
SRS3732098	SRR7775956	SINGLE
SRS3732132	SRR7775987	SINGLE
SRS3732133	SRR7775990	SINGLE
SRS3732143	SRR7776001	SINGLE
SRS3732155	SRR7776013	SINGLE
SRS3732160	SRR7776015	SINGLE
SRS3732157	SRR7776020	SINGLE
SRS3732164	SRR7776023	SINGLE
SRS3732170	SRR7776028	SINGLE
SRS3732185	SRR7776043	SINGLE
SRS3732191	SRR7776049	SINGLE
SRS3732199	SRR7776057	SINGLE
SRS3732210	SRR7776070	SINGLE
SRS3732207	SRR7776071	SINGLE
SRS3732216	SRR7776074	SINGLE
SRS3732217	SRR7776075	SINGLE
SRS3732228	SRR7776084	SINGLE
SRS3732231	SRR7776090	SINGLE
SRS3732264	SRR7776122	SINGLE
SRS3732272	SRR7776132	SINGLE
SRS3732280	SRR7776140	SINGLE
SRS3732301	SRR7776160	SINGLE
SRS3732302	SRR7776162	SINGLE
SRS3732307	SRR7776166	SINGLE
SRS3732306	SRR7776167	SINGLE
SRS3732319	SRR7776181	SINGLE
SRS3732350	SRR7776212	SINGLE
SRS3732359	SRR7776219	SINGLE
SRS3732369	SRR7776231	SINGLE
SRS3732393	SRR7776251	SINGLE
SRS3732408	SRR7776266	SINGLE
SRS3732423	SRR7776281	SINGLE
SRS3732428	SRR7776285	SINGLE
SRS3732436	SRR7776294	SINGLE
SRS3732438	SRR7776297	SINGLE
SRS3732454	SRR7776312	SINGLE
SRS3732462	SRR7776320	SINGLE
SRS3732463	SRR7776321	SINGLE
SRS3732660	SRR7776365	SINGLE
SRS3732513	SRR7776370	SINGLE
SRS3732520	SRR7776384	SINGLE
SRS3732530	SRR7776390	SINGLE
SRS3732532	SRR7776391	SINGLE
SRS3732537	SRR7776397	SINGLE
SRS3732540	SRR7776401	SINGLE
SRS3732553	SRR7776413	SINGLE
SRS3732561	SRR7776418	SINGLE
SRS3732575	SRR7776433	SINGLE
SRS3732583	SRR7776443	SINGLE
SRS3732586	SRR7776446	SINGLE
SRS3732588	SRR7776449	SINGLE
SRS3732612	SRR7776473	SINGLE
SRS3732637	SRR7776498	SINGLE
SRS3732641	SRR7776502	SINGLE
SRS3732642	SRR7776503	SINGLE
SRS3732648	SRR7776509	SINGLE
SRS3732668	SRR7776528	SINGLE
SRS3732678	SRR7776538	SINGLE
SRS3732685	SRR7776544	SINGLE
SRS3732703	SRR7776562	SINGLE
SRS3732704	SRR7776565	SINGLE
SRS3732715	SRR7776574	SINGLE
SRS3732721	SRR7776581	SINGLE
SRS3732726	SRR7776585	SINGLE
SRS3732736	SRR7776593	SINGLE
SRS3732745	SRR7776603	SINGLE
SRS3732755	SRR7776614	SINGLE
SRS3732768	SRR7776626	SINGLE
SRS3732796	SRR7776652	SINGLE
SRS3732808	SRR7776666	SINGLE
SRS3732815	SRR7776673	SINGLE
SRS3732831	SRR7776691	SINGLE
SRS3732835	SRR7776696	SINGLE
SRS3732841	SRR7776701	SINGLE
SRS3732869	SRR7776728	SINGLE
SRS3732874	SRR7776736	SINGLE
SRS3732882	SRR7776743	SINGLE
SRS3732884	SRR7776744	SINGLE
SRS3732895	SRR7776756	SINGLE
SRS3732898	SRR7776759	SINGLE
SRS3732916	SRR7776777	SINGLE
SRS3732929	SRR7776791	SINGLE
SRS3732931	SRR7776792	SINGLE
SRS3732935	SRR7776796	SINGLE
SRS3732936	SRR7776797	SINGLE
SRS3732967	SRR7776828	SINGLE
SRS3770541	SRR7825697	PAIRED
SRS3770555	SRR7825714	PAIRED
SRS3770556	SRR7825715	PAIRED
SRS3770563	SRR7825722	PAIRED
SRS3770570	SRR7825728	PAIRED
SRS3770616	SRR7825734	PAIRED
SRS3770596	SRR7825754	PAIRED
SRS3770606	SRR7825764	PAIRED
SRS3770612	SRR7825769	PAIRED
SRS3971245	SRR8099202	PAIRED
SRS3971245	SRR8099205	PAIRED
SRS3971245	SRR8099204	PAIRED
SRS3971245	SRR8099203	PAIRED
SRS3971246	SRR8099209	PAIRED
SRS3971246	SRR8099207	PAIRED
SRS3971246	SRR8099208	PAIRED
SRS3971246	SRR8099206	PAIRED
SRS4363764	SRR8573767	PAIRED
SRS1397492	SRR3375537	SINGLE
SRS1397484	SRR3375545	SINGLE
SRS1397482	SRR3375547	SINGLE
SRS1397468	SRR3375561	SINGLE
SRS1397446	SRR3375583	SINGLE
SRS1397440	SRR3375590	SINGLE
SRS1397425	SRR3375602	SINGLE
SRS1397422	SRR3375608	SINGLE
SRS1397417	SRR3375612	SINGLE
SRS1397416	SRR3375613	SINGLE
SRS1397402	SRR3375627	SINGLE
SRS1397377	SRR3375651	SINGLE
SRS1397373	SRR3375655	SINGLE
SRS1397340	SRR3375716	SINGLE
SRS1397334	SRR3375727	SINGLE
SRS1397331	SRR3375735	SINGLE
SRS1397297	SRR3375796	SINGLE
SRS1397293	SRR3375800	SINGLE
SRS1397289	SRR3375804	SINGLE
SRS1397282	SRR3375811	SINGLE
SRS1397279	SRR3375814	SINGLE
SRS1397269	SRR3375824	SINGLE
SRS1397253	SRR3375840	SINGLE
SRS1397243	SRR3375850	SINGLE
SRS1397240	SRR3375853	SINGLE
SRS1397193	SRR3375865	SINGLE
SRS1397189	SRR3375868	SINGLE
SRS1397190	SRR3375869	SINGLE
SRS1467271	SRR3587541	SINGLE
SRS1467300	SRR3587569	SINGLE
SRS1467312	SRR3587581	SINGLE
SRS1467319	SRR3587588	SINGLE
SRS1467322	SRR3587591	SINGLE
SRS1467331	SRR3587600	SINGLE
SRS1467332	SRR3587601	SINGLE
SRS1467357	SRR3587626	SINGLE
SRS1467369	SRR3587636	SINGLE
SRS1467382	SRR3587651	SINGLE
SRS1467388	SRR3587658	SINGLE
SRS1467398	SRR3587667	SINGLE
SRS1467400	SRR3587669	SINGLE
SRS1467431	SRR3587700	SINGLE
SRS1467433	SRR3587701	SINGLE
SRS1467466	SRR3587735	SINGLE
SRS1467474	SRR3587743	SINGLE
SRS1467485	SRR3587754	SINGLE
SRS1467492	SRR3587762	SINGLE
SRS1467500	SRR3587768	SINGLE
SRS1467513	SRR3587783	SINGLE
SRS1467531	SRR3587800	SINGLE
SRS1467544	SRR3587813	SINGLE
SRS1467549	SRR3587819	SINGLE
SRS1467557	SRR3587826	SINGLE
SRS1467582	SRR3587851	SINGLE
SRS1467583	SRR3587853	SINGLE
SRS1467586	SRR3587855	SINGLE
SRS1467590	SRR3587859	SINGLE
SRS1467593	SRR3587861	SINGLE
SRS1467607	SRR3587876	SINGLE
SRS1467615	SRR3587884	SINGLE
SRS1467635	SRR3587904	SINGLE
SRS1467252	SRR3587503	PAIRED
SRS2166277	SRR5508615	SINGLE
SRS2166286	SRR5508624	SINGLE
SRS2166292	SRR5508631	SINGLE
SRS2166303	SRR5508641	SINGLE
SRS2166335	SRR5508673	SINGLE
SRS2166351	SRR5508691	SINGLE
SRS2166366	SRR5508705	SINGLE
SRS2166390	SRR5508728	SINGLE
SRS2166394	SRR5508733	SINGLE
SRS2166404	SRR5508743	SINGLE
SRS2166406	SRR5508746	SINGLE
SRS2166412	SRR5508752	SINGLE
SRS2166443	SRR5508781	SINGLE
SRS2166444	SRR5508782	SINGLE
SRS2166447	SRR5508786	SINGLE
SRS2166457	SRR5508795	SINGLE
SRS2166460	SRR5508798	SINGLE
SRS2166467	SRR5508806	SINGLE
SRS2166484	SRR5508821	SINGLE
SRS2166501	SRR5508840	SINGLE
SRS2166672	SRR5508868	SINGLE
SRS2166707	SRR5508900	SINGLE
SRS2166732	SRR5508927	SINGLE
SRS2166746	SRR5508940	SINGLE
SRS2166748	SRR5508942	SINGLE
SRS2166763	SRR5508958	SINGLE
SRS2166764	SRR5508959	SINGLE
SRS2166793	SRR5508990	SINGLE
SRS2166823	SRR5509019	SINGLE
SRS2166842	SRR5509036	SINGLE
SRS2166853	SRR5509044	SINGLE
SRS2166872	SRR5509068	SINGLE
SRS2166883	SRR5509075	SINGLE
SRS2166878	SRR5509076	SINGLE
SRS2166890	SRR5509086	SINGLE
SRS2166897	SRR5509092	SINGLE
SRS2166901	SRR5509094	SINGLE
SRS2166910	SRR5509105	SINGLE
SRS2166919	SRR5509114	SINGLE
SRS2166922	SRR5509116	SINGLE
SRS2166933	SRR5509128	SINGLE
SRS2166935	SRR5509132	SINGLE
SRS2166940	SRR5509136	SINGLE
SRS3106632	SRR6916779	PAIRED
SRS3106648	SRR6916796	PAIRED
SRS3106657	SRR6916805	PAIRED
SRS3106670	SRR6916818	PAIRED
SRS3106673	SRR6916821	PAIRED
SRS3106678	SRR6916826	PAIRED
SRS3106687	SRR6916835	PAIRED
SRS3106696	SRR6916844	PAIRED
SRS3106717	SRR6916865	PAIRED
SRS3106719	SRR6916867	PAIRED
SRS3371551	SRR7254615	SINGLE
SRS3674987	SRR7699783	PAIRED
SRS3674990	SRR7699786	PAIRED
SRS3674996	SRR7699792	PAIRED
SRS3675001	SRR7699796	PAIRED
SRS3675013	SRR7699809	PAIRED
SRS3675015	SRR7699811	PAIRED
SRS3675037	SRR7699832	PAIRED
SRS3675092	SRR7699889	PAIRED
SRS3675093	SRR7699892	PAIRED
SRS3675127	SRR7699925	PAIRED
SRS3675143	SRR7699941	PAIRED
SRS3675147	SRR7699944	PAIRED
SRS3675153	SRR7699950	PAIRED
SRS3675155	SRR7699951	PAIRED
SRS3675164	SRR7699960	PAIRED
SRS3675184	SRR7699979	PAIRED
SRS3675188	SRR7699983	PAIRED
SRS3675202	SRR7699998	PAIRED
SRS3675215	SRR7700007	PAIRED
SRS3675210	SRR7700008	PAIRED
SRS3675224	SRR7700017	PAIRED
SRS3675234	SRR7700029	PAIRED
SRS3675260	SRR7700055	PAIRED
SRS3675281	SRR7700076	PAIRED
SRS3675302	SRR7700095	PAIRED
SRS3675307	SRR7700103	PAIRED
SRS3675316	SRR7700113	PAIRED
SRS3675323	SRR7700120	PAIRED
SRS3675331	SRR7700127	PAIRED
SRS3675334	SRR7700131	PAIRED
SRS3675362	SRR7700157	PAIRED
SRS3675379	SRR7700176	PAIRED
SRS3675388	SRR7700186	PAIRED
SRS3675397	SRR7700194	PAIRED
SRS3675412	SRR7700209	PAIRED
SRS3675431	SRR7700230	PAIRED
SRS3675436	SRR7700235	PAIRED
SRS3675442	SRR7700239	PAIRED
SRS3675447	SRR7700246	PAIRED
SRS3675458	SRR7700255	PAIRED
SRS3675470	SRR7700266	PAIRED
SRS3675481	SRR7700276	PAIRED
SRS3675493	SRR7700288	PAIRED
